circuito_id,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA
0056C,1,7,30,44,111
0056D,3,9,16,100,37
0056E,0,13,30,57,34
0056F,7,29,47,272,213
0056G,10,27,75,327,300
00570,33,452,852,1169,672
00572,17,73,413,395,276
00574,342,919,5906,4532,5026
00575,116,298,1449,1717,1863
00576,5,11,86,78,48
00577,5,21,224,87,77
00578,14,53,329,276,128
00579,6,35,135,126,115
0057A,11,55,59,226,340
0057B,2,9,14,64,120
00580,2,58,211,246,109
00581,2,7,129,83,60
00583,1928,1313,7249,9774,24557
00584,615,513,5991,3112,5325
00585,385,340,3453,1766,3070
00586,476,432,5178,2823,4477
00587,2865,2261,16433,15375,35719
00588,383,344,3322,1967,3534
00589,792,621,4508,3792,7429
0058A,104,418,1024,3616,2468
0058B,1,0,3,7,56
00590,1285,1040,9434,6158,10960
00591,480,393,4666,2299,3728
00592,221,239,2032,1188,1975
00593,712,535,3686,3899,7535
00596,1673,1864,15605,14949,19917
00597,6,18,297,183,107
00598,102,128,813,666,1214
00599,210,270,1234,1541,2331
0059A,344,1217,4171,15707,11805
0059B,13,78,70,686,660
00600,165,373,1381,1697,1306
00601,27,28,237,162,259
00602,117,151,997,1287,1471
00603,77,59,282,466,724
00604,46,74,796,572,668
00605,15,15,135,110,173
00606,154,291,2405,2069,2443
00607,0,3,21,16,27
00608,3,4,52,41,31
00609,9,8,97,92,96
0060A,161,581,3729,4507,2908
0060B,74,205,694,2069,3616
00610,2,55,175,197,147
00611,2,6,15,27,22
00612,7,5,73,47,68
00613,136,247,1655,1677,1950
00615,113,226,2991,1758,2617
00616,9,10,143,122,118
00617,0,1,47,43,14
00619,101,213,1707,1921,2652
0061A,94,442,976,3979,4011
0061B,21,65,112,681,888
0061C,2,6,8,8,90
0061D,0,4,6,17,65
00620,54,184,1046,1288,1012
00621,3,0,34,23,13
00622,33,56,300,406,560
00624,1004,1331,6303,8854,18718
00626,1947,1595,11527,9459,15250
00627,642,531,3406,3235,5381
00628,1590,1453,15178,8850,12212
00629,1258,787,3643,5589,13109
0062A,69,50,211,425,395
0062B,1,1,25,36,48
0062C,0,1,1,4,60
0062D,0,2,1,5,33
0062E,0,3,9,14,125
00630,1244,1251,9327,6854,10029
00631,1113,848,5176,5284,9918
00632,433,315,2134,2345,3455
00633,1905,1596,9346,11426,17950
00634,1003,771,4966,5361,10070
00635,3213,2101,7843,16571,48044
00638,575,606,7105,4981,6013
00639,125,198,1145,1703,2510
0063A,21,82,295,978,884
00640,233,362,2529,2810,2964
00641,56,69,579,643,717
00642,262,309,2148,2307,2730
00643,47,74,332,615,837
00644,20,20,188,191,163
00645,1,9,32,35,36
00646,1,4,65,70,55
00647,1,6,28,35,22
00648,2,6,42,47,69
0064A,22,36,776,1084,2353
0064B,7,26,69,362,261
00650,36,106,221,399,363
00652,2032,1605,10585,11441,20500
00653,2236,1501,6043,11205,26983
00654,1082,798,2943,6418,14766
00655,1879,1437,9898,9517,17922
00656,282,700,4460,3880,4544
00657,5,7,101,72,49
00658,2,2,36,33,41
00659,0,3,13,9,8
0065A,9,11,70,266,131
0065B,1,3,15,20,39
